*.akamaitechnologies.com,9606
*.1e100.net,8060
*.ucsb.edu,5041
*.facebook.com,3342
*.fbcdn.net,1701
*.amazonaws.com,1277
*.yahoo.com,520
*.cloudfront.net,457
*.aleks.com,309
*.twttr.com,267
*.outlook.com,266
*.twitter.com,140
*.dropbox.com,118
*.live.com,107
*.serving-sys.com,87
*.lphbs.com,73
*.wikimedia.org,70
*.msecn.net,65
*.aol.com,63
*.mookie1.com,53
*.softlayer.com,51
*.yahoo.net,49
*.apple.com,46
*.adnexus.net,37
*.xiti.com,37
*.windows.com,31
*.wellsfargo.com,30
*.networklayer.com,29
*.comcastbusiness.net,28
*.hotmail.com,27
*.ebay.com,24
*.mozilla.net,24
*.goodreads.com,21
*.2o7.net,20
*.amazon.com,20
*.att.com,20
*.ntnu.no,19
*.atdmt.com,17
*.revolveclothing.com,17
*.openx.org,17
*.sxm-server-03.de,17
*.coremetrics.com,17
*.cloud-ips.com,16
*.bbc.co.uk,16
*.ca.gov,15
*.unimaas.nl,13
*.spotify.com,13
*.soundcloud.com,11
*.googleusercontent.com,11
*.cachefly.net,11
*.sbcc.edu,10
*.rockynet.com,10
*.cox.net,9
*.ciosolutions.com,9
*.evernote.com,9
*.tmodns.net,9
*.realmedia.com,9
*.newrelic.com,9
*.unisg.ch,8
*.acge.com,8
*.edhat.com,8
*.motive.com,8
*.pasadena.edu,7
*.pikiware.com,7
*.infusionsoft.com,6
*.iaccap.com,6
*.utexas.edu,6
*.cmcore.com,6
*.liketodownload.com,6
*.aamc.org,6
*.microsoft.com,5
*.trouter.io,5
*.turn.com,5
*.icloud.com,5
*.feide.no,5
*.wwnorton.com,4
*.bunchball.com,4
*.voicefive.com,4
*.msn.com,4
*.upenn.edu,4
*.llnw.net,4
*.ultipro.com,4
*.alipay.com,4
*.criteo.com,4
*.yahoo.co.jp,4
*.binginternal.com,4
*.cengage.com,4
*.mozilla.com,4
*.ezweb.ne.jp,3
*.lastpass.com,3
*.twitter.jp,3
*.purdue.edu,3
*.sina.com.cn,3
*.linode.com,3
*.ventura.ca.us,3
*.mtsvc.net,3
*.verisign.com,3
*.pandora.com,3
*.conviva.com,3
*.go.com,3
*.verizonwireless.com,3
*.fedex.com,3
*.att.net,3
*.67.in-addr.arpa,3
*.xo.net,3
*.avast.com,3
*.mesh.com,3
*.symplicity.com,3
*.atttest.com,3
*.steadfastdns.net,3
*.bing.com,3
*.ieee.org,3
*.dimenoc.com,2
*.stereopsis.com,2
*.efrontier.com,2
*.googlehosted.com,2
*.barrons.com,2
*.ru4.com,2
*.adobe.com,2
*.itftd.com,2
*.windows.net,2
*.miracosta.edu,2
*.everesttech.net,2
*.arena.no,2
*.qwest.net,2
*.usps.com,2
*.servepath.com,2
*.tribalfusion.com,2
*.gridserver.com,2
*.rdio.com,2
*.msn.net,2
*.webtrends.com,2
*.adblockplus.org,2
*.quantserve.com,2
*.me.com,2
*.tsinghua.edu.cn,2
*.stackoverflow.com,2
*.omtrdc.net,1
*.mailgun.org,1
*.opsourcecloud.net,1
*.carrieriq.com,1
*.comcast.net,1
*.trb.com,1
*.bankofamerica.com,1
*.redstation.net.uk,1
*.mundo-r.com,1
*.proxad.net,1
*.geonames.net,1
*.clickreport.com,1
*.mcafee.com,1
*.scnet.net,1
*.intermundomedia.com,1
*.getjar.com,1
*.github.com,1
*.ebayrtm.com,1
*.softomate.net,1
*.somewhereinsa.com,1
*.uoguelph.ca,1
*.clearspring.com,1
*.yourcompsolution.com,1
*.criteo.net,1
*.applyweb.com,1
*.iusd.org,1
*.mla.org,1
*.stripe.com,1
*.wordpress.com,1
*.wsj.com,1
*.shopping.com,1
*.spcsdns.net,1
*.leadcapsule.com,1
*.web.de,1
*.ovh.net,1